[2026-05-02 22:34:32] INFO - Created default 'PIF Standard' template
[2026-05-02 23:13:06] INFO - GET /api/proiecte/25_020_Anfeed_ACS880-04/checklist - IP: 127.0.0.1
[2026-05-02 23:13:06] INFO - GET /api/proiecte/25_020_Anfeed_ACS880-04/checklist - Status: 200
[2026-05-02 23:13:06] INFO - GET /api/proiecte/25_020_Anfeed_ACS880-04/timer - IP: 127.0.0.1
[2026-05-02 23:13:06] INFO - GET /api/proiecte/25_020_Anfeed_ACS880-04/timer - Status: 200
[2026-05-02 23:13:06] INFO - GET /api/clienti - IP: 127.0.0.1
[2026-05-02 23:13:06] INFO - GET /api/clienti - Status: 200
[2026-05-02 23:13:06] INFO - GET /api/proiecte/25_020_Anfeed_ACS880-04/echipamente - IP: 127.0.0.1
[2026-05-02 23:13:06] INFO - GET /api/proiecte/25_020_Anfeed_ACS880-04/echipamente - Status: 200
[2026-05-02 23:13:07] INFO - GET /api/templates - IP: 127.0.0.1
[2026-05-02 23:13:07] INFO - GET /api/templates - Status: 200
[2026-05-02 23:13:07] INFO - GET /api/export/excel - IP: 127.0.0.1
[2026-05-02 23:13:07] INFO - Excel export: projects - pif_export_projects_20260502_231307.xlsx
[2026-05-02 23:13:07] INFO - GET /api/export/excel - Status: 200
[2026-05-02 23:13:07] INFO - GET /api/export/pdf - IP: 127.0.0.1
[2026-05-02 23:13:07] INFO - PDF export: pif_report_25_020_Anfeed_ACS880-04_20260502.pdf
[2026-05-02 23:13:07] INFO - GET /api/export/pdf - Status: 200
[2026-05-02 23:13:07] INFO - POST /api/proiecte/batch - IP: 127.0.0.1
[2026-05-02 23:13:07] INFO - Batch updated 1 projects to status: in_lucru
[2026-05-02 23:13:07] INFO - POST /api/proiecte/batch - Status: 200
[2026-05-02 23:13:08] INFO - GET /api/proiecte - IP: 127.0.0.1
[2026-05-02 23:13:08] INFO - GET /api/proiecte - Status: 200
[2026-05-02 23:13:08] INFO - GET /api/clienti - IP: 127.0.0.1
[2026-05-02 23:13:08] INFO - GET /api/clienti - Status: 200
[2026-05-02 23:13:27] INFO - GET /api/stats/extended - IP: 127.0.0.1
[2026-05-02 23:13:27] INFO - GET /api/stats/extended - Status: 200
[2026-05-02 23:13:27] INFO - GET /api/proiecte/25_020_Anfeed_ACS880-04/timer - IP: 127.0.0.1
[2026-05-02 23:13:27] INFO - GET /api/proiecte/25_020_Anfeed_ACS880-04/timer - Status: 200
[2026-05-02 23:14:20] INFO - Login successful for IP: 127.0.0.1
[2026-05-02 23:14:20] INFO - GET /api/stats - IP: 127.0.0.1
[2026-05-02 23:14:20] INFO - GET /api/proiecte - IP: 127.0.0.1
[2026-05-02 23:14:20] INFO - GET /api/stats/extended - IP: 127.0.0.1
[2026-05-02 23:14:20] INFO - GET /api/stats - Status: 200
[2026-05-02 23:14:20] INFO - GET /api/proiecte - Status: 200
[2026-05-02 23:14:20] INFO - GET /api/stats/extended - Status: 200
[2026-05-02 23:14:20] INFO - GET /api/global-tasks - IP: 127.0.0.1
[2026-05-02 23:14:20] INFO - GET /api/global-tasks - Status: 200
[2026-05-02 23:14:29] INFO - GET /api/proiecte - IP: 127.0.0.1
[2026-05-02 23:14:29] INFO - GET /api/stats - IP: 127.0.0.1
[2026-05-02 23:14:29] INFO - GET /api/proiecte - Status: 200
[2026-05-02 23:14:29] INFO - GET /api/stats - Status: 200
[2026-05-02 23:14:39] INFO - GET /api/proiecte - IP: 127.0.0.1
[2026-05-02 23:14:39] INFO - GET /api/proiecte - Status: 200
[2026-05-02 23:14:46] INFO - GET /api/proiecte - IP: 127.0.0.1
[2026-05-02 23:14:46] INFO - GET /api/proiecte - Status: 200
[2026-05-02 23:15:09] INFO - GET /api/proiecte - IP: 127.0.0.1
[2026-05-02 23:15:09] INFO - GET /api/proiecte - Status: 200
[2026-05-02 23:15:55] INFO - GET /api/proiecte - IP: 127.0.0.1
[2026-05-02 23:15:55] INFO - GET /api/proiecte - Status: 200
[2026-05-02 23:16:16] INFO - GET /api/stats - IP: 127.0.0.1
[2026-05-02 23:16:16] INFO - GET /api/stats/extended - IP: 127.0.0.1
[2026-05-02 23:16:16] INFO - GET /api/proiecte - IP: 127.0.0.1
[2026-05-02 23:16:16] INFO - GET /api/stats - Status: 200
[2026-05-02 23:16:16] INFO - GET /api/stats/extended - Status: 200
